Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,7300.000000,7300.000000,7175.000000,7225.000000,5713.479492,33829300
2019-03-12,7250.000000,7350.000000,7175.000000,7175.000000,5673.939453,36724200
2019-03-13,7100.000000,7150.000000,7100.000000,7125.000000,5634.399902,35882400
2019-03-14,7125.000000,7250.000000,7125.000000,7200.000000,5693.709473,29057900
2019-03-15,7200.000000,7375.000000,7200.000000,7325.000000,5792.558105,39356200
2019-03-18,7300.000000,7375.000000,7275.000000,7325.000000,5792.558105,32558100
2019-03-19,7300.000000,7325.000000,7225.000000,7275.000000,5753.019043,40585700
2019-03-20,7300.000000,7350.000000,7225.000000,7275.000000,5753.019043,30377700
2019-03-21,7300.000000,7325.000000,7225.000000,7250.000000,5733.249512,31066900
2019-03-22,7275.000000,7300.000000,7225.000000,7225.000000,5713.479492,13387300
2019-03-25,7175.000000,7175.000000,7000.000000,7050.000000,5575.090332,51758500
2019-03-26,7100.000000,7175.000000,7075.000000,7100.000000,5614.630371,23711700
2019-03-27,7175.000000,7200.000000,7100.000000,7175.000000,5673.939453,12546100
2019-03-28,7150.000000,7150.000000,7050.000000,7100.000000,5614.630371,17584700
2019-03-29,7100.000000,7300.000000,7100.000000,7300.000000,5772.788574,30122900
2019-04-01,7375.000000,7400.000000,7275.000000,7350.000000,5812.328613,13152600
2019-04-02,7325.000000,7450.000000,7300.000000,7425.000000,5871.636719,28647700
2019-04-03,7425.000000,7425.000000,7425.000000,7425.000000,5871.636719,0
2019-04-04,7500.000000,7625.000000,7500.000000,7550.000000,5970.486816,38598100
2019-04-05,7575.000000,7650.000000,7500.000000,7650.000000,6049.566895,21303800
2019-04-08,7600.000000,7625.000000,7375.000000,7525.000000,5950.716797,23973800
2019-04-09,7475.000000,7700.000000,7475.000000,7675.000000,6069.335938,31230600
2019-04-10,7725.000000,7725.000000,7625.000000,7650.000000,6049.566895,18506200
2019-04-11,7675.000000,7675.000000,7475.000000,7525.000000,5950.716797,17082800
2019-04-12,7450.000000,7575.000000,7450.000000,7525.000000,5950.716797,12332300
2019-04-15,7575.000000,7625.000000,7475.000000,7600.000000,6010.026855,30002000
2019-04-16,7550.000000,7800.000000,7550.000000,7750.000000,6128.645020,37600500
2019-04-17,7750.000000,7750.000000,7750.000000,7750.000000,6128.645020,0
2019-04-18,7925.000000,8025.000000,7775.000000,7850.000000,6207.725098,88459900
2019-04-19,7850.000000,7850.000000,7850.000000,7850.000000,6207.725098,0
2019-04-22,7850.000000,7850.000000,7500.000000,7525.000000,5950.716797,33999600
2019-04-23,7625.000000,7675.000000,7550.000000,7650.000000,6049.566895,30486900
2019-04-24,7625.000000,7675.000000,7600.000000,7650.000000,6049.566895,22044600
2019-04-25,7550.000000,7600.000000,7400.000000,7550.000000,5970.486816,34998300
2019-04-26,7475.000000,7650.000000,7475.000000,7650.000000,6049.566895,31531100
2019-04-29,7525.000000,7700.000000,7500.000000,7600.000000,6010.026855,33169300
2019-04-30,7650.000000,7675.000000,7575.000000,7625.000000,6029.796875,29569700
2019-05-01,7625.000000,7625.000000,7625.000000,7625.000000,6029.796875,0
2019-05-02,7600.000000,7675.000000,7450.000000,7475.000000,5911.177734,37010600
