Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,11200.000000,11375.000000,11175.000000,11225.000000,10816.757813,3082400
2019-01-07,11400.000000,11500.000000,11150.000000,11150.000000,10744.485352,4473800
2019-01-08,11275.000000,11500.000000,11250.000000,11300.000000,10889.031250,4329800
2019-01-09,11400.000000,11650.000000,11375.000000,11575.000000,11154.030273,4511000
2019-01-10,11700.000000,12575.000000,11675.000000,12575.000000,12117.660156,12416300
2019-01-11,12700.000000,12975.000000,12300.000000,12725.000000,12262.205078,8621800
2019-01-14,12725.000000,12725.000000,12100.000000,12600.000000,12141.751953,4123500
2019-01-15,12600.000000,12875.000000,12350.000000,12875.000000,12406.749023,4889500
2019-01-16,12875.000000,12900.000000,12550.000000,12700.000000,12238.113281,4405800
2019-01-17,12700.000000,12975.000000,12500.000000,12650.000000,12189.932617,5953800
2019-01-18,12650.000000,12650.000000,12200.000000,12300.000000,11852.662109,4999200
2019-01-21,12400.000000,12600.000000,11900.000000,11950.000000,11515.390625,5940200
2019-01-22,11925.000000,12050.000000,11725.000000,11925.000000,11491.299805,4137600
2019-01-23,11925.000000,12450.000000,11925.000000,12450.000000,11997.206055,6095900
2019-01-24,12475.000000,12725.000000,12300.000000,12725.000000,12262.205078,5572300
2019-01-25,12825.000000,13125.000000,12575.000000,13100.000000,12623.566406,6937000
2019-01-28,13100.000000,13550.000000,13100.000000,13525.000000,13033.110352,8321000
2019-01-29,13500.000000,13700.000000,13125.000000,13200.000000,12719.929688,4636700
2019-01-30,13300.000000,13450.000000,13000.000000,13250.000000,12768.110352,4629200
2019-01-31,13250.000000,13375.000000,13000.000000,13000.000000,12527.202148,8248600
2019-02-01,13100.000000,13125.000000,12625.000000,12675.000000,12214.022461,4023000
2019-02-04,12675.000000,13050.000000,12500.000000,12500.000000,12045.387695,3889600
2019-02-05,12500.000000,12500.000000,12500.000000,12500.000000,12045.387695,0
2019-02-06,12525.000000,13175.000000,12525.000000,13100.000000,12623.566406,6353500
2019-02-07,13200.000000,13300.000000,12800.000000,12950.000000,12479.022461,2978600
2019-02-08,12600.000000,12850.000000,12500.000000,12675.000000,12214.022461,3767700
2019-02-11,12600.000000,12750.000000,12350.000000,12500.000000,12045.387695,2038300
2019-02-12,12500.000000,12700.000000,12075.000000,12450.000000,11997.206055,2967500
2019-02-13,12475.000000,12650.000000,12250.000000,12625.000000,12165.841797,3338800
2019-02-14,12525.000000,12600.000000,11975.000000,11975.000000,11539.482422,3317500
2019-02-15,11975.000000,12000.000000,11425.000000,11500.000000,11081.756836,4521300
2019-02-18,11600.000000,11900.000000,11600.000000,11875.000000,11443.118164,2816000
2019-02-19,11875.000000,12100.000000,11675.000000,11925.000000,11491.299805,2376900
2019-02-20,11950.000000,12250.000000,11950.000000,12250.000000,11804.480469,5017500
