Date,Open,High,Low,Close,Adj Close,Volume
2019-04-12,9050.000000,9075.000000,8950.000000,9050.000000,8159.405762,5680700
2019-04-15,9050.000000,9125.000000,9025.000000,9050.000000,8159.405762,7383800
2019-04-16,9050.000000,9150.000000,9025.000000,9075.000000,8181.945801,9366900
2019-04-17,9075.000000,9075.000000,9075.000000,9075.000000,8181.945801,0
2019-04-18,9200.000000,9250.000000,8975.000000,9100.000000,8204.484375,9814000
2019-04-19,9100.000000,9100.000000,9100.000000,9100.000000,8204.484375,0
2019-04-22,9100.000000,9150.000000,9000.000000,9025.000000,8136.865234,4508800
2019-04-23,9025.000000,9250.000000,9000.000000,9200.000000,8294.642578,7391100
2019-04-24,9275.000000,9275.000000,9150.000000,9200.000000,8294.642578,4551000
2019-04-25,9200.000000,9225.000000,9075.000000,9075.000000,8181.945801,8457600
2019-04-26,9125.000000,9250.000000,9075.000000,9175.000000,8272.104492,9330800
2019-04-29,9250.000000,9325.000000,9150.000000,9300.000000,8384.802734,7772200
2019-04-30,9475.000000,9800.000000,9475.000000,9725.000000,8767.979492,23070300
2019-05-01,9725.000000,9725.000000,9725.000000,9725.000000,8767.979492,0
2019-05-02,9725.000000,9800.000000,9600.000000,9700.000000,8745.439453,9553100
2019-05-03,9700.000000,9700.000000,9450.000000,9625.000000,8677.820313,7205900
2019-05-06,9425.000000,9650.000000,9425.000000,9600.000000,8655.282227,4011200
2019-05-07,9650.000000,9725.000000,9625.000000,9700.000000,8745.439453,5647100
2019-05-08,9600.000000,9700.000000,9525.000000,9700.000000,8745.439453,4525600
2019-05-09,9800.000000,9800.000000,9600.000000,9675.000000,8722.899414,7134000
2019-05-10,9600.000000,9900.000000,9575.000000,9825.000000,8858.139648,8510000
2019-05-13,9850.000000,9900.000000,9625.000000,9625.000000,8677.820313,5054900
2019-05-14,9400.000000,9750.000000,9350.000000,9650.000000,8700.360352,5829500
2019-05-15,9500.000000,9650.000000,9500.000000,9525.000000,8587.661133,6269800
2019-05-16,9475.000000,9725.000000,9275.000000,9500.000000,8565.121094,5387200
2019-05-17,9500.000000,9550.000000,9250.000000,9300.000000,8384.802734,3029000
2019-05-20,9300.000000,9450.000000,9075.000000,9375.000000,8452.422852,2840200
2019-05-21,9375.000000,9650.000000,9375.000000,9625.000000,8677.820313,2987200
2019-05-22,9650.000000,9675.000000,9325.000000,9500.000000,8565.121094,2243500
2019-05-23,9550.000000,9750.000000,9500.000000,9725.000000,8767.979492,3942700
2019-05-24,9750.000000,9775.000000,9550.000000,9700.000000,8745.439453,2087200
2019-05-27,9800.000000,9800.000000,9675.000000,9775.000000,8813.059570,2815700
2019-05-28,9800.000000,9825.000000,9600.000000,9725.000000,8767.979492,11469100
2019-05-29,9725.000000,9725.000000,9575.000000,9725.000000,8767.979492,3939700
2019-05-30,9725.000000,9725.000000,9725.000000,9725.000000,8767.979492,0
2019-05-31,9725.000000,9800.000000,9700.000000,9800.000000,8835.600586,7160600
2019-06-03,9800.000000,9800.000000,9800.000000,9800.000000,8835.600586,0
2019-06-04,9800.000000,9800.000000,9800.000000,9800.000000,8835.600586,0
2019-06-05,9800.000000,9800.000000,9800.000000,9800.000000,8835.600586,0
2019-06-06,9800.000000,9800.000000,9800.000000,9800.000000,8835.600586,0
2019-06-07,9800.000000,9800.000000,9800.000000,9800.000000,8835.600586,0
2019-06-10,9900.000000,9900.000000,9700.000000,9800.000000,8835.600586,4458100
2019-06-11,9900.000000,10150.000000,9875.000000,10150.000000,9151.156250,9200400
2019-06-12,10150.000000,10200.000000,10050.000000,10150.000000,9151.156250,4065500
2019-06-13,10200.000000,10200.000000,9950.000000,10000.000000,9015.917969,5328600
2019-06-14,10000.000000,10050.000000,9950.000000,9975.000000,8993.377930,3172900
2019-06-17,9975.000000,10050.000000,9875.000000,9950.000000,9095.762695,2591800
2019-06-18,9975.000000,10125.000000,9975.000000,10125.000000,9255.738281,16228900
2019-06-19,null,null,null,null,null,null
2019-06-20,10125.000000,10175.000000,10050.000000,10150.000000,9278.591797,4722800
2019-06-21,10250.000000,10250.000000,9950.000000,10025.000000,9164.324219,12671700
2019-06-24,10000.000000,10025.000000,9925.000000,9950.000000,9095.762695,1975100
2019-06-25,9975.000000,10100.000000,9875.000000,10000.000000,9141.469727,24636700
2019-06-26,9950.000000,10150.000000,9925.000000,10050.000000,9187.175781,4283700
2019-06-27,10050.000000,10175.000000,10000.000000,10150.000000,9278.591797,4233600
2019-06-28,10200.000000,10200.000000,10150.000000,10150.000000,9278.591797,5163200
2019-07-01,10175.000000,10175.000000,10025.000000,10125.000000,9255.738281,1810900
2019-07-02,10000.000000,10150.000000,9950.000000,10125.000000,9255.738281,2919400
2019-07-03,10000.000000,10125.000000,10000.000000,10125.000000,9255.738281,3023200
2019-07-04,10075.000000,10125.000000,10075.000000,10100.000000,9232.883789,1186700
2019-07-05,10025.000000,10150.000000,10025.000000,10100.000000,9232.883789,4857300
2019-07-08,10100.000000,10125.000000,10000.000000,10025.000000,9164.324219,3219300
2019-07-09,9950.000000,10125.000000,9950.000000,10100.000000,9232.883789,2957200
2019-07-10,10050.000000,10150.000000,10025.000000,10125.000000,9255.738281,4132100
2019-07-11,10075.000000,10250.000000,10075.000000,10250.000000,9370.006836,4959400
2019-07-12,10250.000000,10400.000000,10200.000000,10275.000000,9392.859375,4944000
2019-07-15,10400.000000,10400.000000,10275.000000,10375.000000,9484.274414,3802600
2019-07-16,10375.000000,10425.000000,10300.000000,10425.000000,9529.981445,2887800
2019-07-17,10425.000000,10650.000000,10350.000000,10625.000000,9712.811523,4657700
2019-07-18,10625.000000,10825.000000,10575.000000,10725.000000,9804.225586,3141500
2019-07-19,10800.000000,10850.000000,10725.000000,10850.000000,9918.495117,4500500
2019-07-22,10850.000000,10850.000000,10550.000000,10650.000000,9735.665039,2231900
2019-07-23,10650.000000,10825.000000,10625.000000,10725.000000,9804.225586,3789800
2019-07-24,10775.000000,10775.000000,10550.000000,10575.000000,9667.103516,2573700
2019-07-25,10600.000000,10825.000000,10575.000000,10700.000000,9781.372070,4393300
2019-07-26,10675.000000,10775.000000,10250.000000,10575.000000,9667.103516,5094200
2019-07-29,10600.000000,10600.000000,10150.000000,10550.000000,9644.250977,4662100
2019-07-30,10350.000000,10625.000000,10325.000000,10625.000000,9712.811523,6836000
2019-07-31,10700.000000,10725.000000,10600.000000,10700.000000,9781.372070,9353300
2019-08-01,10700.000000,10825.000000,10575.000000,10700.000000,9781.372070,5747800
2019-08-02,10600.000000,10875.000000,10600.000000,10850.000000,9918.495117,6844300
2019-08-05,10800.000000,11175.000000,10725.000000,10875.000000,9941.348633,10260200
2019-08-06,10875.000000,10875.000000,10625.000000,10775.000000,9849.933594,7514300
2019-08-07,10875.000000,11900.000000,10850.000000,11225.000000,10261.299805,8654200
2019-08-08,11100.000000,11500.000000,11100.000000,11175.000000,10215.591797,7458300
2019-08-09,11275.000000,11350.000000,11200.000000,11300.000000,10329.861328,4156500
2019-08-12,11350.000000,11450.000000,11225.000000,11275.000000,10307.006836,2861900
2019-08-13,11500.000000,11500.000000,11175.000000,11250.000000,10284.154297,7798500
2019-08-14,11400.000000,11400.000000,11275.000000,11350.000000,10375.567383,4994700
2019-08-15,11100.000000,11500.000000,11050.000000,11500.000000,10512.689453,7785500
2019-08-16,10750.000000,11650.000000,10750.000000,11625.000000,10626.958984,7037500
2019-08-19,11625.000000,12125.000000,11475.000000,11525.000000,10535.543945,7924300
2019-08-20,11800.000000,11950.000000,11600.000000,11900.000000,10878.348633,11360000
2019-08-21,11875.000000,11900.000000,11725.000000,11800.000000,10786.933594,7288200
2019-08-22,11900.000000,11900.000000,11800.000000,11825.000000,10809.788086,7625300
2019-08-23,12075.000000,12075.000000,11700.000000,11775.000000,10764.081055,7936400
2019-08-26,11675.000000,11775.000000,11250.000000,11750.000000,10741.226563,6608200
2019-08-27,11850.000000,11850.000000,11725.000000,11750.000000,10741.226563,12491900
2019-08-28,11900.000000,11950.000000,11775.000000,11825.000000,10809.788086,8964800
2019-08-29,11825.000000,12050.000000,11825.000000,12000.000000,10969.763672,12311400
2019-08-30,12100.000000,12100.000000,11950.000000,12050.000000,11015.470703,7502900
2019-09-02,12100.000000,12100.000000,11950.000000,11975.000000,10946.910156,2153200
2019-09-03,11975.000000,12025.000000,11850.000000,12000.000000,10969.763672,2459000
2019-09-04,12100.000000,12100.000000,11975.000000,12000.000000,10969.763672,5760400
2019-09-05,11775.000000,12000.000000,11700.000000,12000.000000,10969.763672,4230700
2019-09-06,12000.000000,12000.000000,11775.000000,11900.000000,10878.348633,2320000
2019-09-09,11900.000000,11950.000000,11800.000000,11850.000000,10832.641602,2642700
2019-09-10,11850.000000,12025.000000,11825.000000,12025.000000,10992.616211,4550900
2019-09-11,12025.000000,12050.000000,11850.000000,11950.000000,10924.056641,5861100
2019-09-12,12000.000000,12025.000000,11850.000000,11925.000000,10901.202148,2164800
2019-09-13,11800.000000,11825.000000,11550.000000,11600.000000,10604.104492,4968500
2019-09-16,11500.000000,11875.000000,11475.000000,11825.000000,10809.788086,6073500
2019-09-17,11900.000000,12000.000000,11875.000000,11950.000000,10924.056641,5113400
2019-09-18,11950.000000,12000.000000,11850.000000,11875.000000,10855.494141,2632200
2019-09-19,11975.000000,11975.000000,11850.000000,11900.000000,10878.348633,2160600
2019-09-20,11925.000000,11950.000000,11775.000000,11950.000000,10924.056641,8730600
2019-09-23,11950.000000,11975.000000,11850.000000,11875.000000,10855.494141,2435100
2019-09-24,11950.000000,11975.000000,11725.000000,11800.000000,10786.933594,2092300
2019-09-25,11800.000000,11850.000000,11600.000000,11800.000000,10786.933594,4008700
2019-09-26,11900.000000,12050.000000,11875.000000,12000.000000,10969.763672,4714500
2019-09-27,12000.000000,12000.000000,11875.000000,11950.000000,10924.056641,2938500
2019-09-30,11950.000000,12025.000000,11900.000000,12025.000000,10992.616211,3417900
2019-10-01,11950.000000,11975.000000,11875.000000,11925.000000,10901.202148,2714500
2019-10-02,11975.000000,12550.000000,11975.000000,12200.000000,11152.593750,3768000
2019-10-03,12275.000000,12400.000000,11700.000000,12200.000000,11152.593750,6457500
2019-10-04,12275.000000,12325.000000,12150.000000,12225.000000,11175.446289,1296900
2019-10-07,12225.000000,12350.000000,12150.000000,12275.000000,11221.153320,1419100
2019-10-08,12400.000000,12400.000000,12275.000000,12400.000000,11335.421875,2937900
2019-10-09,12500.000000,12500.000000,11975.000000,12000.000000,10969.763672,3141600
2019-10-10,11875.000000,11875.000000,11350.000000,11450.000000,10466.983398,9475400
2019-10-11,11550.000000,11675.000000,11525.000000,11625.000000,10626.958984,6715800
2019-10-14,11650.000000,11750.000000,11550.000000,11600.000000,10604.104492,6405900
2019-10-15,11550.000000,11625.000000,11325.000000,11375.000000,10398.420898,3905000
2019-10-16,11400.000000,11600.000000,11250.000000,11325.000000,10352.714844,8774100
2019-10-17,11325.000000,11550.000000,11325.000000,11550.000000,10558.397461,4469900
